Symbol,Sector,industry
CHMI,Consumer Services,Real Estate Investment Trusts
CHMI^A,,
CHMI^B,,
CPK,Public Utilities,Oil & Gas Production
CVX,Energy,Integrated oil Companies
CHWY,Consumer Services,Catalog/Specialty Distribution
CHS,Consumer Services,Clothing/Shoe/Accessory Stores
CIM,Consumer Services,Real Estate Investment Trusts
CIM^A,,
CIM^B,,
CIM^C,,
CIM^D,,
DL,Consumer Services,Other Consumer Services
CEA,Transportation,Air Freight/Delivery Services
CHN,,
CGA,Basic Industries,Agricultural Chemicals
LFC,Finance,Life Insurance
CHL,,
COE,Consumer Services,Other Consumer Services
SNP,Energy,Integrated oil Companies
ZNH,Transportation,Air Freight/Delivery Services
CHA,,
CHU,,
CYD,Energy,Industrial Machinery/Components
CMG,Consumer Services,Restaurants
CHH,Consumer Services,Hotels/Resorts
CB,Finance,Property-Casualty Insurers
CHT,Public Utilities,Telecommunications Equipment
CHD,Basic Industries,Package Goods/Cosmetics
CCX,Finance,Business Services
CCX.U,,
CCX.WS,,
CCIV,Finance,Business Services
CCIV.U,,
CCIV.WS,,
CCV.U,,
CIXX,Finance,Investment Managers
CIEN,Public Utilities,Telecommunications Equipment
CI,Health Care,Medical Specialities
XEC,Energy,Oil & Gas Production
CBB,Public Utilities,Telecommunications Equipment
CBB^B,,
CNK,Consumer Services,Movies/Entertainment
CINR,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
CIR,Capital Goods,Metal Fabrications
CIT,Finance,Major Banks
CIT^B,,
CCAC,Finance,Business Services
CCAC.U,,
CCAC.WS,,
BLW,Finance,Major Banks
C,Finance,Major Banks
C^J,,
C^K,Finance,Major Banks
C^N,Finance,Major Banks
C^S,,
CFG,Finance,Major Banks
CFG^D,,
CFG^E,,
CIA,Finance,Life Insurance
CIO,Consumer Services,Real Estate Investment Trusts
CIO^A,,
CVEO,Consumer Services,Hotels/Resorts
CCC,Technology,EDP Services
CLH,Basic Industries,Environmental Services
CCO,Consumer Services,Advertising
EMO,,
CEM,,
CTR,,
CLW,Basic Industries,Paper
CWEN,Public Utilities,Electric Utilities: Central
CWEN.A,,
CLF,Basic Industries,Precious Metals
CLII,Finance,Business Services
CLII.U,,
CLII.WS,,
CLPR,Consumer Services,Real Estate Investment Trusts
CLX,Consumer Durables,Specialty Chemicals
CLDR,Technology,Computer Software: Prepackaged Software
NET,Technology,Computer Software: Prepackaged Software
CMS,Public Utilities,Power Generation
CMS^B,Public Utilities,Power Generation
CMSA,Public Utilities,Power Generation
CMSC,Public Utilities,Power Generation
CMSD,Public Utilities,Power Generation
CNA,Finance,Property-Casualty Insurers
CNF,Finance,Finance: Consumer Services
CNHI,Capital Goods,Construction/Ag Equipment/Trucks
CNO,Finance,Accident &Health Insurance
CNO^A,,
CEO,Energy,Oil & Gas Production
CNX,Energy,Oil & Gas Production
KOF,Consumer Non-Durables,Beverages (Production/Distribution)
KO,Consumer Non-Durables,Beverages (Production/Distribution)
CCEP,Consumer Non-Durables,Beverages (Production/Distribution)
CDE,Basic Industries,Precious Metals
FOF,,
CNS,Finance,Investment Managers
UTF,,
LDP,,
MIE,,
RQI,,
RNP,,
PSF,,
PTA,,
RFI,,
CRHC,Finance,Business Services
CRHC.U,,
CRHC.WS,,
CFX,Capital Goods,Fluid Controls
CFXA,Capital Goods,Fluid Controls
CL,Consumer Non-Durables,Package Goods/Cosmetics
CXE,,
CIF,,
CXH,,
CMU,,
CLA,Capital Goods,Industrial Machinery/Components
CLA.U,,
CLA.WS,,
CLNY,Consumer Services,Real Estate Investment Trusts
CLNY^G,,
CLNY^H,,
CLNY^I,,
CLNY^J,,
CLNC,Consumer Services,Real Estate Investment Trusts
CXP,Consumer Services,Real Estate Investment Trusts
STK,,
CCZ,Consumer Services,Television Services
CMA,Finance,Major Banks
FIX,Capital Goods,Engineering & Construction
CMC,Basic Industries,Steel/Iron Ore
CBU,Finance,Major Banks
CYH,Health Care,Hospital/Nursing Management
CHCT,Consumer Services,Real Estate Investment Trusts
CIG,Public Utilities,Electric Utilities: Central
CIG.C,,
CBD,Consumer Services,Food Chains
SBS,Public Utilities,Water Supply
ELP,Public Utilities,Electric Utilities: Central
CCU,Consumer Non-Durables,Beverages (Production/Distribution)
CODI,Consumer Durables,Home Furnishings
CODI^A,,
CODI^B,,
CODI^C,,
CMP,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
CRK,Energy,Oil & Gas Production
CAG,Consumer Non-Durables,Packaged Foods
CXO,Energy,Oil & Gas Production
CND.U,,
CCM,Health Care,Medical/Nursing Services
CNMD,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
COP,Energy,Integrated oil Companies
CEIX,Energy,Coal Mining
ED,Public Utilities,Power Generation
STZ,Consumer Non-Durables,Beverages (Production/Distribution)
STZ.B,,
CSTM,Basic Industries,Metal Fabrications
TCS,Consumer Services,Home Furnishings
CLR,Energy,Oil & Gas Production
VLRS,Transportation,Air Freight/Delivery Services
CTRA,Energy,Coal Mining
CTB,Consumer Durables,Automotive Aftermarket
CPS,Capital Goods,Auto Parts:O.E.M.
CTK,Technology,EDP Services
CPA,Transportation,Air Freight/Delivery Services
CLB,Energy,Oilfield Services/Equipment
CXW,Consumer Services,Real Estate Investment Trusts
CLGX,Technology,EDP Services
CORR,Consumer Services,Real Estate Investment Trusts
CORR^A,,
CPLG,Consumer Services,Real Estate Investment Trusts
COR,Consumer Services,Real Estate Investment Trusts
CNR,Capital Goods,Metal Fabrications
